review_id,aspect,sentiment,score,rating,sample_text
R4RSMXBY0G3LE,rust,negative,-1.0,1,the knives rust so bad
R8SFD3VF3E3K3,sharpness,positive,1.0,5,the quality is great and blades very sharp
R8SFD3VF3E3K3,quality,positive,1.0,5,the quality is great and blades very sharp
R1H1BDP1RU4VZU,durability,negative,-1.0,1," not sure how long these knives are supposed to last, but after a few years these have rusted and re"
R1H1BDP1RU4VZU,rust,negative,-1.0,1," not sure how long these knives are supposed to last, but after a few years these have rusted and re"
R1H1BDP1RU4VZU,appearance,negative,-1.0,1, they look terrible
R3PPUAFE4UN8EE,sharpness,positive,1.0,5,very quick delivery and these are the sharpest knives
R2X3RPVFLTHZ45,sharpness,positive,1.0,5, the blades are very sharp
R2X3RPVFLTHZ45,quality,positive,1.0,5," on first impression, the quality is great and a real value"
R2X3RPVFLTHZ45,rust,positive,1.0,5, the stainless steel blades seem to be of high quality and not prone to staining
R2X3RPVFLTHZ45,value,positive,1.0,5," on first impression, the quality is great and a real value"
R27YC7T0C4SUB8,sharpness,positive,1.0,5,"bought these knives as a gift for a friend who was complaining about their old, dull knives"
R27YC7T0C4SUB8,appearance,positive,1.0,5, she was so amazed how beautiful and sharp these knives are
R2MMI5LLLFT0GU,sharpness,negative,-1.0,1,the knife was broken into two parts while cutting butter
R2MMI5LLLFT0GU,durability,negative,-1.0,1,the knife was broken into two parts while cutting butter
R2L2C8153AFPJ,quality,positive,1.0,5,loved themawesome product and well made
R2NI0QG1G3ZNS,handle,negative,-1.0,1, wood handle fades after first wash
R2NI0QG1G3ZNS,appearance,negative,-1.0,1, looks horrible!
R2BXV86HD1ZA7P,rust,negative,-1.0,3,frustrated that the knife block does not have a space for each knife
R1KO9HT3QQY7SU,quality,positive,1.0,4,"good quality, look great"
R1KO9HT3QQY7SU,appearance,positive,1.0,4,"good quality, look great"
R1VZ1IK2M9EH45,rust,negative,-1.0,1,please do not buy this!!!!!! they rust too quickly
R24CCRJM5ZN1FF,sharpness,positive,1.0,5,this knives are attractive and sharp as hell
R2YYZAO30CD2RM,sharpness,positive,1.0,5,good quality and sharp out the box
R2YYZAO30CD2RM,quality,positive,1.0,5,good quality and sharp out the box
R3RLCIL314TT1O,quality,positive,1.0,5,very good quality
R1WD7FUWQY1FZL,sharpness,negative,-1.0,1,these rusted after the first wash and weren't very sharp to begin with
R1WD7FUWQY1FZL,rust,negative,-1.0,1,these rusted after the first wash and weren't very sharp to begin with
RDYC2G3DACLI2,value,positive,1.0,5,"good value, fast shipping and simply lovely, very sound"
R1CKMB365E7D7B,rust,negative,-1.0,3,knives get rust spots in dish washer
R17MSXZ7HB00V0,rust,negative,-1.0,2, my main issue is that i they rust
R17MSXZ7HB00V0,appearance,negative,-1.0,2,i love the look of these knives and have had them over a year now
R2RT35BLH66VWB,quality,negative,-1.0,1,the knife quality is very poor and three of my knives broke at the tip after only a few uses
R2RT35BLH66VWB,durability,negative,-1.0,1,the knife quality is very poor and three of my knives broke at the tip after only a few uses
ROOTYIAN3ERXB,quality,positive,1.0,4, sturdy made from good materials
ROOTYIAN3ERXB,durability,positive,1.0,4, sturdy made from good materials
ROOTYIAN3ERXB,appearance,positive,1.0,4, they looks cool though
RMB9V5JWW9MM9,sharpness,negative,-1.0,1,"looks nice and blades are sharp but i must warn you, the blades will rust"
RMB9V5JWW9MM9,rust,negative,-1.0,1,"looks nice and blades are sharp but i must warn you, the blades will rust"
RMB9V5JWW9MM9,value,negative,-1.0,1, not worth the price
RMB9V5JWW9MM9,appearance,negative,-1.0,1,"looks nice and blades are sharp but i must warn you, the blades will rust"
R25ULU42TFJ0EL,quality,positive,1.0,5, it was of good quality that would last a long time use
R25ULU42TFJ0EL,durability,positive,1.0,5, it was of good quality that would last a long time use
R1GFA28XFNC5K6,appearance,positive,1.0,5, the look and cut is great
R1X0D3WF3J08E6,sharpness,positive,1.0,5, so sharp
R1X0D3WF3J08E6,handle,positive,1.0,5, hand wash as recommended and i put them to the side of the sink when dirty rather than in it so the
R1X0D3WF3J08E6,appearance,positive,1.0,5, i've had them a week and 3 people cut themselves so be careful! i got the dark wood color which loo
RAPGUE7I5VCCF,sharpness,negative,-1.0,2,the knives are sharp but the laminated handles delaminated after maybe 3 uses
RAPGUE7I5VCCF,handle,negative,-1.0,2,the knives are sharp but the laminated handles delaminated after maybe 3 uses
R2XESXG54ZLOXC,sharpness,neutral,0.0,3,knives are sharp and look great
R2XESXG54ZLOXC,handle,neutral,0.0,3, block that holds knives not put together correctly
R2XESXG54ZLOXC,appearance,neutral,0.0,3,knives are sharp and look great
R2VU50Q1IMBIJO,quality,positive,1.0,5,very high quality loving it!
R1Y5ODNK4LTPLO,rust,negative,-1.0,1," they rusted very quickly, even though i never put them in the dishwasher"
R35V3B0LAA7VOL,sharpness,positive,1.0,5,i got this for my mother in law to replace her old collection of dull knives particularly because it
R35V3B0LAA7VOL,handle,positive,1.0,5," in the hand, these do not look or feel cheap"
R35V3B0LAA7VOL,value,positive,1.0,5," in the hand, these do not look or feel cheap"
R35V3B0LAA7VOL,appearance,positive,1.0,5, this set looks elegant and of course they're sharp
RAYXOB1S2MEGB,quality,negative,-1.0,1, i made an exchange but second set came with the same issue
RAYXOB1S2MEGB,handle,negative,-1.0,1, it's a good knife but it doesn't fit in the holder
R349WTE16H9K6Q,rust,negative,-1.0,1, rust rust rust
RKQEA1MMR7YFC,quality,negative,-1.0,2,the material that this cutlery is made of is extremely prone to rust
RKQEA1MMR7YFC,rust,negative,-1.0,2,the material that this cutlery is made of is extremely prone to rust
R33H52IQXV2A49,sharpness,negative,-1.0,3, they were beautiful and sharp
R33H52IQXV2A49,handle,negative,-1.0,3," hand washed only, and they all rusted"
R33H52IQXV2A49,rust,negative,-1.0,3," hand washed only, and they all rusted"
R33H52IQXV2A49,appearance,negative,-1.0,3, they were beautiful and sharp
R13KCHTCVB8FLO,sharpness,neutral,0.0,3," you can see the rust stains, and broken blades"
R13KCHTCVB8FLO,quality,neutral,0.0,3," i'm kinda doubtful of them being german stainless, not quality of german manufacturing"
R13KCHTCVB8FLO,durability,neutral,0.0,3," you can see the rust stains, and broken blades"
R13KCHTCVB8FLO,handle,neutral,0.0,3," they look great and feel great in the hand, and hold an edge well"
R13KCHTCVB8FLO,rust,neutral,0.0,3," i'm kinda doubtful of them being german stainless, not quality of german manufacturing"
R13KCHTCVB8FLO,value,neutral,0.0,3, i would still recommend if you want a nice inexpensive knife set
R13KCHTCVB8FLO,appearance,neutral,0.0,3," they look great and feel great in the hand, and hold an edge well"
RI8ZT4VTXIVUG,handle,negative,-1.0,1, i don’t even like wood handles
RI8ZT4VTXIVUG,appearance,negative,-1.0,1,5-inch non-serrated steak knives (6)” and i was looking for non-serrated knives
R2YTNZE6QV6GU3,rust,negative,-1.0,1,the knives begin to rust after the first wash
R25PHIIUNKTAQM,handle,negative,-1.0,1," i hand washed and dried right after use, but even then, orange rust marks were everywhere after jus"
R25PHIIUNKTAQM,rust,negative,-1.0,1,i rarely leave bad reviews but i wanted to let others know that these knives rust so fast
R25PHIIUNKTAQM,appearance,negative,-1.0,1, i was happy with the design but it doesn’t matter at this point because i see spots of rust on all 
R2X5I0C7VB30E7,quality,positive,1.0,5, knives well made with a little weight to them which i was hoping
R2X5I0C7VB30E7,balance,positive,1.0,5, knives well made with a little weight to them which i was hoping
R2X5I0C7VB30E7,appearance,positive,1.0,5, sleek design solid block
R162YCIORU732Z,rust,negative,-1.0,1, they rusted the next day! if these knives hve any bit of water on them they will rust
R162YCIORU732Z,value,negative,-1.0,1,save ur money
RTETF9YN439Y5,sharpness,neutral,0.0,3,very sharp
RTETF9YN439Y5,balance,neutral,0.0,3, nice weight
R11X72D2T86ZSM,rust,negative,-1.0,1,had these knives for about 2 weeks and i was loving them except this one is rusted after being in th
R1MPJVP4E3L556,sharpness,positive,1.0,4," sharp right out of the box, all the sizes and types i use regularly and, they balance well in the h"
R1MPJVP4E3L556,handle,positive,1.0,4," sharp right out of the box, all the sizes and types i use regularly and, they balance well in the h"
R1MPJVP4E3L556,balance,positive,1.0,4," sharp right out of the box, all the sizes and types i use regularly and, they balance well in the h"
R1MPJVP4E3L556,value,positive,1.0,4,this knife set is good value
R6V7S3OZ28ZZA,sharpness,negative,-1.0,1," no intense usage, just regular meat/vegetable cutting, we hand wash and either towel or air dry the"
R6V7S3OZ28ZZA,handle,negative,-1.0,1," no intense usage, just regular meat/vegetable cutting, we hand wash and either towel or air dry the"
R6V7S3OZ28ZZA,rust,negative,-1.0,1, the knives have rusted and the metal has small pits in it
R6V7S3OZ28ZZA,value,negative,-1.0,1," other than that, a waste of money"
R6V7S3OZ28ZZA,appearance,negative,-1.0,1, the knives are pretty
R1RPRB3IEIZREX,sharpness,positive,1.0,5,product was very sharp directly out the box
R1RPRB3IEIZREX,value,positive,1.0,5," so this fit my needs, especially for the price"
R3U1PE2BJV2DHB,sharpness,negative,-1.0,1,i have only had these knives for less than a week and they are showing signs the blades are changing
R3U1PE2BJV2DHB,quality,negative,-1.0,1,i have only had these knives for less than a week and they are showing signs the blades are changing
R2C2E5V04I73P9,sharpness,negative,-1.0,3,bought these knives over a year ago and in the beginning they were great! sharp and slices through a
R2C2E5V04I73P9,rust,negative,-1.0,3, few month after purchasing i noticed rusting on the blade
R16K1B7U87LGIT,handle,negative,-1.0,2, washing them by hand didn't help a bit
R16K1B7U87LGIT,rust,negative,-1.0,2, after the first dish washer run the knives rusted
R16K1B7U87LGIT,appearance,negative,-1.0,2," they look great on the counter, but if you lan to actually use them, i will not recommend to anyone"
RT2UILZA0MFH,sharpness,positive,1.0,4, the only issue i have is it that they need to be sharpened after almost every use
R12MXO9YFGOS82,sharpness,negative,-1.0,3," more troubling however, is the fact that two of the steak knives have been chipping to the point th"
R12MXO9YFGOS82,durability,negative,-1.0,3," more troubling however, is the fact that two of the steak knives have been chipping to the point th"
R12MXO9YFGOS82,rust,negative,-1.0,3, during the second year i began to notice rust spots that had to be rubbed out
R1YPLYVSD61JBT,sharpness,negative,-1.0,2,these arrived in a nice cutting block with sharpener
R1YPLYVSD61JBT,rust,negative,-1.0,2," the knives are very sharp, but they appear to be rusting"
R1YPLYVSD61JBT,value,negative,-1.0,2, the knives cost too much to be rusting
R2XN3WF5P9ABCB,handle,negative,-1.0,2,hollow handles
RS3P4EE23KEJZ,rust,negative,-1.0,5,it rusted pretty quick!
RS3P4EE23KEJZ,appearance,negative,-1.0,5,it rusted pretty quick!
R2DH4REV5225AT,sharpness,positive,1.0,5,sharp!!
R1TUP2561Q5OG6,sharpness,neutral,0.0,3,"for my home purposes, i think they are a bit too sharp"
R1TUP2561Q5OG6,appearance,neutral,0.0,3, so i was looking for a set that had more than 6
RZ1B2X28KJX3R,sharpness,positive,1.0,5, the knifes can make in good packaging and was very sharp
R3CHMT9L62P6DS,sharpness,negative,-1.0,4, these knives have not rusted or broken and some are still relatively sharp considering the time per
R3CHMT9L62P6DS,durability,negative,-1.0,4, these knives have not rusted or broken and some are still relatively sharp considering the time per
R3CHMT9L62P6DS,handle,negative,-1.0,4, we did always hand wash the knives and dry them shortly after washing
R3CHMT9L62P6DS,rust,negative,-1.0,4, these knives have not rusted or broken and some are still relatively sharp considering the time per
R3CHMT9L62P6DS,appearance,negative,-1.0,4," the ones we use most frequently such as the chef's knife, santoku, and the slicing knife are pretty"
RV5AI7IAYW0ZY,durability,negative,-1.0,3,why would the tip break off it’s just a year old
R3MUJZUBB5R8XV,quality,negative,-1.0,1, quality control should have caught this
R3MUJZUBB5R8XV,appearance,negative,-1.0,1," after looking at the user guide i found that the 8"" carving knife was not included, but another kni"
R2RCANSSDFZE3R,rust,positive,1.0,5, i am yet to see any sign of rust as others complain
R1T0OXE2YJ42XZ,sharpness,positive,1.0,5,"versatile set of knives, a little light but sharp and easy to use"
R1T0OXE2YJ42XZ,balance,positive,1.0,5,"versatile set of knives, a little light but sharp and easy to use"
R1T0OXE2YJ42XZ,value,positive,1.0,5, good value for price
R1NDZMLEA41YIS,durability,negative,-1.0,1,some of the knives have broken metal pieces
R1NDZMLEA41YIS,value,negative,-1.0,1, my life is not worth how dangerous this set is
RVI1Y0LAO0HT0,handle,positive,1.0,4,"i first bought a different steak kife (only) set that is nicer and more ergonomic, but they don’t ma"
RVI1Y0LAO0HT0,appearance,positive,1.0,4," pretty good, but perfect"
R1CNU5D4N7FYE8,handle,negative,-1.0,1,"after one month of use, knives are showing rust spots that have have to be hand cleaned after dishwa"
R1CNU5D4N7FYE8,rust,negative,-1.0,1,"after one month of use, knives are showing rust spots that have have to be hand cleaned after dishwa"
R3KASGFMBR7LI7,rust,negative,-1.0,1,these knives are only 3 months old and have rusted already and are unusable
R397X19NN8PR3E,handle,positive,1.0,5,very nice set of knivesthe wood handles are awesome
R1RGD4WJCVQ4G0,handle,negative,-1.0,1, i always hand wash them and immediately dry them
R1RGD4WJCVQ4G0,rust,negative,-1.0,1, despite all this tlc the rust kept getting worse and worse
RFMR2GYLJT9VZ,sharpness,positive,1.0,5," very high quality, sharp knives too!"
RFMR2GYLJT9VZ,quality,positive,1.0,5,i searched for a quality knife set that i could keep on my countertop and be able to remove the bigg
R1J7X5JZHJ8ON5,sharpness,negative,-1.0,1," chipped, dull and rusting"
R1J7X5JZHJ8ON5,quality,negative,-1.0,1, just very poor quality
R1J7X5JZHJ8ON5,durability,negative,-1.0,1," chipped, dull and rusting"
R1J7X5JZHJ8ON5,rust,negative,-1.0,1," chipped, dull and rusting"
R1J7X5JZHJ8ON5,appearance,negative,-1.0,1,i will say they are pretty when they arrive
R268P3A1DSLH1S,sharpness,neutral,0.0,3, but nice light blade that’s def good and sharp
R268P3A1DSLH1S,handle,neutral,0.0,3, just not for me; chonkyfat grip and very handle-heavy
R268P3A1DSLH1S,balance,neutral,0.0,3, just not for me; chonkyfat grip and very handle-heavy
R9K4BNRI07DA0,sharpness,positive,1.0,5,"very, very sharp"
R1R2KKULJMJWW,value,negative,-1.0,5, i've only ever used walmart brand cheap knives so this is a major major major upgrade for me so to 
R3R9BVGJWYC3ZM,sharpness,negative,-1.0,1,"the handle is to wide when cut anything, my knuckles hit the cutting board so the knife doesn’t cut "
R3R9BVGJWYC3ZM,handle,negative,-1.0,1,"the handle is to wide when cut anything, my knuckles hit the cutting board so the knife doesn’t cut "
R2H3YZ81DHXZK0,quality,positive,1.0,5," the quality is outstanding, with beautiful craftsmanship and stunning coloring on the handle"
R2H3YZ81DHXZK0,handle,positive,1.0,5," the quality is outstanding, with beautiful craftsmanship and stunning coloring on the handle"
R2H3YZ81DHXZK0,appearance,positive,1.0,5," the quality is outstanding, with beautiful craftsmanship and stunning coloring on the handle"
R26AER337ZIPQ8,sharpness,positive,1.0,5,nice sharp knife
RCTWTY4QISAK6,quality,positive,1.0,5,nice knife good quality
R3LY3R92AS3T17,balance,positive,1.0,5,it was a gift to my nephew and he was delighted
R29DV2OSJZAIHX,sharpness,positive,1.0,5,this is a really sharp knife
R3Q02K7Q1EOHPY,value,positive,1.0,5,"very nice,good value"
R230JICKXQPCUW,sharpness,positive,1.0,5,extremely sharp
RCCVRHKAYDQ99,quality,positive,1.0,5,this knife was packaged beautifully and it is a high quality knife
RCCVRHKAYDQ99,appearance,positive,1.0,5,this knife was packaged beautifully and it is a high quality knife
R2ACEE8W3XAMTW,sharpness,positive,1.0,5,i love this knife!❤️ my husband bought it for me as a christmas gift for a second i thought it was j
R24F7RSNOBNFA0,sharpness,positive,1.0,5,only used once but impressed so sharp i nicked my finger
R2SKDT1B65046I,sharpness,positive,1.0,5,"very sharp, comfortable to hold"
R2SKDT1B65046I,handle,positive,1.0,5,"very sharp, comfortable to hold"
R1ADH983RK1IXX,sharpness,positive,1.0,5, very sharp
R1ADH983RK1IXX,value,positive,1.0,5, good value for money
RER7AY7YU00BZ,sharpness,positive,1.0,5,"excellent knife … very sharp (be careful), and also very easy to use"
R14375F9QFLDHU,sharpness,negative,-1.0,2,no zip nada gotta sharpen each time!
R7QUD7GKCUXCF,sharpness,negative,-1.0,1, got wendy dull after 3 uses
R2X0FWOSWUFB32,sharpness,positive,1.0,5,this is a great high quality sharp knife
R2X0FWOSWUFB32,quality,positive,1.0,5,this is a great high quality sharp knife
R3803FR1KQN0RY,sharpness,positive,1.0,5,"if you want a super sharp chef's, this will be good for you"
R3803FR1KQN0RY,appearance,positive,1.0,5," i do most of the cooking, and i'm pretty good and quick with cutting/dicing etc"
R2WQ6G7RTW9NEN,sharpness,positive,1.0,5,absolutely stunning knife and super sharp and a insane price tag a absolute steal
R2WQ6G7RTW9NEN,handle,positive,1.0,5," insanely sharp, nice feel, solid handle, we literally fight over it in the kitchen to use it becaus"
R2WQ6G7RTW9NEN,value,positive,1.0,5,absolutely stunning knife and super sharp and a insane price tag a absolute steal
R2WQ6G7RTW9NEN,appearance,positive,1.0,5, my fiancé and i have been looking for a decent chef's knife and i stumbled upon this and went for i
R1FMDMLGF1TBN3,sharpness,positive,1.0,5, it's sharp
R8JYU0DCJRUI8,sharpness,positive,1.0,5,i bought it for a family number and they loved it nice blade great performance and very nice color
R39IL8R7D2BFVG,sharpness,positive,1.0,5, keeps a sharp edge
R924EZXRYRZTF,sharpness,positive,1.0,5,"i was so surprised with how sturdy, sharp, and well balanced this chefs knife was"
R924EZXRYRZTF,durability,positive,1.0,5,"i was so surprised with how sturdy, sharp, and well balanced this chefs knife was"
R924EZXRYRZTF,handle,positive,1.0,5," the handle size fits my hand perfectly (for reference i wear size large gloves), and my wife has no"
R924EZXRYRZTF,balance,positive,1.0,5,"i was so surprised with how sturdy, sharp, and well balanced this chefs knife was"
R924EZXRYRZTF,appearance,positive,1.0,5,"if you're looking for a well rounded/jack of all trades chef knife, this is the one to get!"
RVND1COQBTB25,handle,positive,1.0,5, cuts nicely and feels good in your hand
R3UV5DAWNP1H9R,quality,positive,1.0,5,"good quality, exactly what was described"
R1PMQCE5CL6JAO,sharpness,positive,1.0,5, it's slices through my raw chicken like i'm cutting through soft butter
R1PMQCE5CL6JAO,appearance,positive,1.0,5,sooo pleased and it's beautiful
RNS1NC46FANY1,sharpness,positive,1.0,5, i just wish it came with a cover for sharp edge
R1E20LXUTFQFOK,quality,positive,1.0,5,great quality
R2KSPA1EICJ1S6,sharpness,positive,1.0,5,"love this knife! nice and sharp, nice weight, size and balance at a reasonable price!"
R2KSPA1EICJ1S6,balance,positive,1.0,5,"love this knife! nice and sharp, nice weight, size and balance at a reasonable price!"
R2KSPA1EICJ1S6,value,positive,1.0,5,"love this knife! nice and sharp, nice weight, size and balance at a reasonable price!"
R1GU2I2MISM48V,sharpness,positive,1.0,5,this is a hit with my husband and me! i bought it for him but i might be using it even more often! w
R1GU2I2MISM48V,value,positive,1.0,5,this is a hit with my husband and me! i bought it for him but i might be using it even more often! w
R1PGDYMTJJQTE8,value,positive,1.0,4,good for the price
R1576YQ6YI5VRK,value,positive,1.0,5,great knife for the cost
RBC39Z09MCF88,quality,positive,1.0,5,great quality
R3AH3KR8YRHI4W,handle,positive,1.0,5, just make sure to rub some oil on the handle every so often to keep the wood happy!
R1EA07YA2ON617,sharpness,positive,1.0,5,i absolutely love my imarku japanese chef knife and use it every single day in my kitchen! the 8-inc
R1EA07YA2ON617,handle,positive,1.0,5," the high carbon steel maintains its edge beautifully, and the balance and weight feel professional-"
R1EA07YA2ON617,balance,positive,1.0,5," the high carbon steel maintains its edge beautifully, and the balance and weight feel professional-"
R1EA07YA2ON617,value,positive,1.0,5," if you're looking for a kitchen upgrade or a thoughtful gift, this knife is worth every penny!"
R1EA07YA2ON617,appearance,positive,1.0,5," the high carbon steel maintains its edge beautifully, and the balance and weight feel professional-"
R391M6NTTSE9U7,sharpness,positive,1.0,4,it’s a decent knife for beginners wanting to get better at cutting up things
R2JTEV1R7J3Y1A,handle,positive,1.0,5,"the knife was a nice weight , easy to handle and cut a steak like butter"
R2JTEV1R7J3Y1A,balance,positive,1.0,5,"the knife was a nice weight , easy to handle and cut a steak like butter"
R2U3HP9OFE3BUY,sharpness,positive,1.0,5," resharpens well, nice feel"
R3GJ5N8MW0NYN2,sharpness,positive,1.0,5, it’s sharp and easy to use
RESOPJ6QTOSQC,sharpness,positive,1.0,5,"i’ve bought one for everyone in the family! great quality knife, maintains its sharpness, beautifull"
