review_id,review_text_clean,review_rating,bert_label,bert_score
R13ESHZGF36GVR,"Most knifes are made well and have a good feel except for the steak knifes which look and feel cheap. I am keeping the set, but replacing the steak knifes.",3,POSITIVE,0.964259684085846
R34VQAWR7CXM9H,Brand new out of the box. Used the scissors once and then hand washed them and it immediately rusted. I expected more from Cuisinart.,1,NEGATIVE,0.9996576309204102
R19HV4BBFBYB3,Looses sharpness fast. The big knives are hard to get out of the block. Low quality.,2,NEGATIVE,0.9994408488273621
R2IJNB6Y7LF6TZ,"Like this set, super sharp!",4,POSITIVE,0.9997513890266418
RER0KXHBYW13X,The knives are sharp. The black block matches my kitchen appliances.,5,POSITIVE,0.9913138747215271
RVM4FEBVF6Z35,"The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time0:00/Duration0:41Loaded:7.32%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:411xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.The quality of these invites are great! They are not too big and bulky. They do not rust and are easy to clean! They also stay sharp, we have not had to sharpen.",5,NEGATIVE,0.9929906129837036
R1YRX4F9EMF7IL,This knife set is very high quality for the cost. It also looks aesthetically pleasing on my kitchen counter. Comes with a knife sharpener so they never go dull!,5,POSITIVE,0.9996649026870728
R209ZY7QKW3FWP,Worth the money,5,POSITIVE,0.9998158812522888
R25V4FR7SP00QA,"SHARP! First time using included trip to ER, totally my bad. BE SMART WITH THEM!",5,NEGATIVE,0.7947286367416382
R1UUTEVRQRRNXJ,I highly don’t recommend this knife set! I had them for about two years and they started to crack. I don’t have a picture but the scissors it came with rusted and broke. You’re just better off investing in a better knife set!,1,NEGATIVE,0.994617760181427
R15QM7FBGTZRQJ,Muy bonitos y excelente calidad. Me gustaron mucho,5,POSITIVE,0.9878705143928528
REXCRS0IU2CQI,"Nice set but the steak knives do not cut very well. Unfortunately for me, I opened the box too late and the return window has past. Now I have to replace the steak knives with something that is functional.",2,NEGATIVE,0.9952451586723328
R2XO60IUZAYXK6,Love this set!,5,POSITIVE,0.9998819828033447
RL967J3YFZZFA,"Unfortunately they are not worth the price. I put them in the dishwasher and they cracked and got all rusted. I know you’re not technically supposed to put them in there, but it says they can be. Not great…sad they cracked.",2,NEGATIVE,0.9997269511222839
R3N1JCMH2U9DXN,"Plastic handles , they are low end for the price you pay",1,NEGATIVE,0.9965935349464417
R2LQ47F724UNCO,"The color of the natural kind of ugly to me, that I had to return them. It was like an orangish beige. Didn’t look like the color in the image. I will try the white ones.",4,NEGATIVE,0.9985669255256653
R2ALBRGAOAAFJN,"I have always been nervous about ordering knives online, but these surprised me! They are very sharp, and there are multiple different types of knives so that you can choose which one you need. They are very durable, and their balance from the blade to the handle is amazing. The handle has a brilliant grip, so it will not fall out of your hands when cutting.",5,POSITIVE,0.9998339414596558
R3LT68V3UCNIIC,Worst knives ever! The handles have all cracked making the knives unusable. Wish I could return. Do not purchase.,1,NEGATIVE,0.9997929930686951
R10DPJNT42B3HE,Do not hesitate to. This set us phenomenal and very good quality knives. I love cooking and I use all of the. Comes with scissors and knife sharpener tool. Easy to clean down.,5,POSITIVE,0.9998267292976379
R1OZOCUVC68RPC,"EXCELLENT KNIVES, AESTHETICALLY BEAUTIFUL AND SUER SHARP",5,POSITIVE,0.9997561573982239
R1FKR2OZ4YWBV,"Not sure if there was a ""correct"" way of washing the scissors, but they broke within a year - the part that connects the two eroded & came apart on top of my salad with grind metals falling off. I bought this 11 months ago. Everything else is great, they are still very much super sharp & other handles are durable.",3,POSITIVE,0.9875912666320801
R3GMWWH8CQBIMT,"The (6) 4.5 inch steak knives do not have a tang that reaches the back of the handle. The tang only goes about an inch or so into the handles. This causes the plastic handles to crack over time and eventually the blade breaks through the handle. The rest of the larger kitchen knives work fine, but the steak knives are cheaply made and will eventually break.",1,NEGATIVE,0.9973248243331909
R11XE6R49FIBPS,Missing knife and Cuisinart customer service was not helpful.,3,NEGATIVE,0.9998052716255188
R2B3B4HWA9I7PC,Love this knife set it looks great. It's decent quality I always wash them in the dishwasher and they do get clean BUT some of my most frequently used knives have started to rust a tnt but. But I've had for a year and use them almost every day. I'd say it's a good value for money spent.,4,POSITIVE,0.9942837357521057
R2KIU522UKE6MF,These knives felt flimsy and unstable.,1,NEGATIVE,0.999651312828064
R3TPE5CLK1LVJM,"Total crap, plastic cracks and breaks.",1,NEGATIVE,0.9997796416282654
R3NO769MWEVR5S,"I love the knifes however, done of them have rust spots on them. The scissors were very hard to use until we put oil on them. They cut thru all my meat and veggies with no trouble. They are lightweight and easy to grip. I do keep them sharpened. I would purchase again.",3,POSITIVE,0.9940973520278931
R305L0LACLY58F,I would absolutely recommend them to everybody.,5,POSITIVE,0.9997870326042175
RDCU2R5TTFKHN,Do not order this product. They are having a quality control issue with the knives that are being shipped. I ordered the product twice and both times received one knife that does not fit in the block. The block is correct based on the picture on the box but the one knife that doesn't fit in the block that I received is not pictured on the box.,1,NEGATIVE,0.997927188873291
REIHTVTT9DHW3,Product set was incomplete and did not include the 3 1/2” paring knife.Please send me the knife I paid for!!!,1,NEGATIVE,0.999690055847168
RKTU0VD4Z2UZ1,These replaced our old dull set perfectly.,5,POSITIVE,0.8620733022689819
R102ZT5D67QCI2,My wife shook the knife after she rinsed it and the blade broke and landed about 2 inches away from her feet and our cat... tossing out the whole set immediately!,1,NEGATIVE,0.9957572817802429
R4RSMXBY0G3LE,The knives rust so bad. I'm returning them.,1,NEGATIVE,0.9994522929191589
R8SFD3VF3E3K3,The quality is great and blades very sharp.,5,POSITIVE,0.9998569488525391
R1H1BDP1RU4VZU,"I bought these for my daughter a few years ago. Not sure how long these knives are supposed to last, but after a few years these have rusted and ready for the trash.They were fine for several months. I never really noticed, but we were house sitting this week while she was away and I used a few of the knives. They look terrible.I’m sure there’s no warranty, but I cannot recommend these for anyone. Sorry for the poor review, but this was a gift and I’m very embarrased.",1,NEGATIVE,0.9324082136154175
R3PPUAFE4UN8EE,Very quick delivery and these are the sharpest knives.I've worked with very satisfied,5,POSITIVE,0.999359667301178
R2X3RPVFLTHZ45,"I was pleasantly surprised to find this kitchen knife set exceeded my expectations. On first impression, the quality is great and a real value. The heft and feel is perfect for me and my wife also. The blades are very sharp. The stainless steel blades seem to be of high quality and not prone to staining. Hopefully, use time will confirm my initial impressions!",5,POSITIVE,0.9998260140419006
R27YC7T0C4SUB8,"Bought these knives as a gift for a friend who was complaining about their old, dull knives. She was so amazed how beautiful and sharp these knives are. The other great part is that a knife sharpener is included in the knife block. These are winners.",5,POSITIVE,0.9993242025375366
R2MMI5LLLFT0GU,The knife was broken into two parts while cutting butter.,1,NEGATIVE,0.9981619715690613
R2L2C8153AFPJ,Loved themAwesome product and well made,5,POSITIVE,0.9997153878211975
RLTXX5IYPWVA1,Great product,5,POSITIVE,0.9998695850372314
R2XK8PARP2AZZ1,Great set of knives!,5,POSITIVE,0.9995480179786682
R2NI0QG1G3ZNS,Not dishwasher safe. Wood handle fades after first wash. Looks horrible!,1,NEGATIVE,0.9997610449790955
R2BXV86HD1ZA7P,Frustrated that the knife block does not have a space for each knife. Not very safe. The picture is deceiving.,3,NEGATIVE,0.9985876083374023
RMQQZBDDPRZHH,"These are good knives but Master Maison included a large santoku knife and did not include the carving knife. Amazon feedback shows that another customer had a similar experience, exchanged the improper set, and got exactly the same improper set in return. I tried to contact Master Maison and neither of my two emails could be delivered. Let the potential buyer beware!",1,NEGATIVE,0.9995495676994324
R1KO9HT3QQY7SU,"Good quality, look great. Only issue is that the pictures show the steak knives being non-serrated. They are serrated, but that's just an issue of personal preference.",4,POSITIVE,0.9919456839561462
R1VZ1IK2M9EH45,PLEASE DO NOT BUY THIS!!!!!! They rust too quickly. Today is 1 month and 7 days since I bought this and they have rust and don't even live near the beach. I can't return them now. But I feel so bad because is disgusting the amount of rust. On the top of that there is on knife that doesn't match any hole. Very ver bad product.,1,NEGATIVE,0.9996451139450073
R3VDP0BTWFVEF5,"Knife set is nice and it doesn't take too much space. Colors match my kitchen colors. But, the buttons on the shear were loose and I had to glue them on. They wouldn't click into the socket.",4,NEGATIVE,0.9714725613594055
R3G36ZI4RWP8FV,Cut ease,5,POSITIVE,0.9988540410995483
R24CCRJM5ZN1FF,This knives are attractive and sharp as hell. My fingers are great proof.,5,POSITIVE,0.9997841715812683
R2YYZAO30CD2RM,Good quality and sharp out the box. Also the shears feel super robust.,5,POSITIVE,0.9998728036880493
R3RLCIL314TT1O,Very good quality.,5,POSITIVE,0.9998660087585449
R1WD7FUWQY1FZL,These rusted after the first wash and weren't very sharp to begin with. Shortly after the end of one of the knives snapped off. Very dangerous JUNK!!!!!,1,NEGATIVE,0.9997239708900452
RDYC2G3DACLI2,"Good value, fast shipping and simply lovely, very sound.",5,POSITIVE,0.9998836517333984
R1CKMB365E7D7B,Knives get rust spots in dish washer.,3,NEGATIVE,0.9985321760177612
R2NOZAVGUL78JK,Good stand,3,POSITIVE,0.999824583530426
R17MSXZ7HB00V0,I love the look of these knives and have had them over a year now. My main issue is that I they rust. I would have expected a better grade of stainless steel.,2,NEGATIVE,0.9895607233047485
R2RT35BLH66VWB,The knife quality is very poor and three of my knives broke at the tip after only a few uses,1,NEGATIVE,0.9997699856758118
ROOTYIAN3ERXB,"I ordered black set. I got gray. They looks cool though. One knife has a flaw, not a show stopper. Wood block was full of sawdust. But the knives are a great set. Sturdy made from good materials. Bet they will last a long time.",4,POSITIVE,0.9985330104827881
R3EDFSMF6E5VDN,Good,5,POSITIVE,0.9998161196708679
RMB9V5JWW9MM9,"Looks nice and blades are sharp but I MUST warn you, the blades WILL rust. Be sure if you do use that you immediately wipe your blades off. Not worth the price",1,NEGATIVE,0.9994547963142395
R10U07YSUSDXT5,Good,5,POSITIVE,0.9998161196708679
R25ULU42TFJ0EL,I was so pleased with this block set of knives that was delivered yesterday in nice packaging. It was of good quality that would last a long time use.,5,POSITIVE,0.999137282371521
R24KJ8VURN015E,"Simplemente excelente, calidad, precio, presentación,",5,POSITIVE,0.9840651154518127
R3NXLSL2OB3UWA,Perfecto para cortar carne o vegetales estos cuchillos son de muy buena calidad !!!,5,POSITIVE,0.9984246492385864
R1GFA28XFNC5K6,Purchased as a gift and couldn’t be happier. The look and cut is great.,5,POSITIVE,0.9998360872268677
R1X0D3WF3J08E6,These knives are a game changer to my cooking. Slice up any fruit or vegetable speedy quick with zero effort. SO sharp. I've had them a week and 3 people cut themselves so be careful! I got the dark wood color which looks great. Hand wash as recommended and i put them to the side of the sink when dirty rather than in it so they aren't sitting in water or going to accidentally slice a finger. Highly recommend this company.,5,POSITIVE,0.9886946082115173
RK2N5GW8JBEVD,Set was missing a knife. I returned and reordered. When I got my second order it was used plus missing some knives. Now having a problem getting my refund since I returned the 2nd set.,1,NEGATIVE,0.9995627999305725
RAPGUE7I5VCCF,The knives are sharp but the laminated handles delaminated after maybe 3 uses. I really wanted to likes these. Won’t be able to send them back because it happened one day after the return window closed,2,POSITIVE,0.9809747934341431
RXV6CM908QJEO,"I got this as a gift for my mother. The carving knife was missing. Got another knife in placd of it. however, it does not fit in the knife block. Would've been a great set if I received the correct knives or the substitute knife fit.",2,NEGATIVE,0.9997082352638245
R2XESXG54ZLOXC,KNIVES ARE SHARP AND LOOK GREAT. BLOCK THAT HOLDS KNIVES NOT PUT TOGETHER CORRECTLY. cHEFS KNIFE WILL NOT GO INTO THE BLOCK,3,POSITIVE,0.8721291422843933
R2VU50Q1IMBIJO,Very high quality loving it!,5,POSITIVE,0.9998887777328491
R2KWID9VQBJ6FA,Contains Lead - box has a label that says it contains lead. This is going straight into the trash.,1,NEGATIVE,0.9997029900550842
R1Y5ODNK4LTPLO,"I wouldn’t recommend this knife set. They rusted very quickly, even though I never put them in the dishwasher.I used them for about 8-9 months.Now i have to buy new one.",1,NEGATIVE,0.9992509484291077
R34H8WI1OQ72LV,Good set for starting out,4,POSITIVE,0.9998316764831543
R2SP2665O9HKIL,Muy buenos,5,NEGATIVE,0.9624515175819397
R35V3B0LAA7VOL,"I got this for my mother in law to replace her old collection of dull knives particularly because it comes with a sharpener. This set looks elegant and of course they're sharp. In the hand, these do not look or feel cheap. I got to use them on the Christmas turkey and they did WORK!",5,POSITIVE,0.998330295085907
RAYXOB1S2MEGB,I bought first set of 5 knifes and one knife was from different set. It's a good knife but it doesn't fit in the holder. I made an exchange but second set came with the same issue. Returning the second set too.,1,NEGATIVE,0.9890692830085754
R349WTE16H9K6Q,Not even 2mnths old... RUST RUST RUST.. Not ment took nearly 2weeks shipping,1,NEGATIVE,0.9986153841018677
RKQEA1MMR7YFC,The material that this cutlery is made of is extremely prone to rust.,2,NEGATIVE,0.9993886947631836
R33H52IQXV2A49,"I had this knife set for 2 weeks. Hand washed only, and they all rusted. I set them back and did get a refund. They were beautiful and sharp. I wished they didn’t rust.",3,NEGATIVE,0.7220671772956848
R2LI9OKNH8S72N,love them and use them all the time,5,POSITIVE,0.9998335838317871
R3VJ1P0HCD76L2,I LOVE these knives!,5,POSITIVE,0.9998366832733154
R3I8H9X0RSNOP1,Cooking knife set.,2,NEGATIVE,0.8934457898139954
R13KCHTCVB8FLO,"This is the best set of knives I've ever owned, but didn't take my abuse. I would still recommend if you want a nice inexpensive knife set. I'm kinda doubtful of them being German stainless, not quality of German manufacturing. You can see the rust stains, and broken blades. The one with missing tip got dropped on the floor, the other i was cutting through frozen hamburger. Upsetting they broke, but for the cost, can't expect professional quality. They look great and feel great in the hand, and hold an edge well.",3,POSITIVE,0.925613284111023
R1HXOBNGOVQAGF,I washed the bottom knife one time and the finish is gone. Returning my set,2,NEGATIVE,0.9992690682411194
RI8ZT4VTXIVUG,I specifically chose this set - the 15 piece Walnut set - because the description said “4.5-inch non-serrated steak knives (6)” and I was looking for non-serrated knives. What did I get? 6 *serrated* steak knives. I would have bought something else had I decided to get a set with serrated steak knives. I don’t even like wood handles. I just wanted non-serrated knives (with the exception of the bread knife).,1,NEGATIVE,0.9985503554344177
R2YTNZE6QV6GU3,The knives begin to rust after the first wash. No matter the amount of scrubbing or drying they keep getting worse. Don't recommend buying these.,1,NEGATIVE,0.9981828331947327
R25PHIIUNKTAQM,"I rarely leave bad reviews but I wanted to let others know that these knives rust so fast. I hand washed and dried right after use, but even then, orange rust marks were everywhere after just one use. I was happy with the design but it doesn’t matter at this point because I see spots of rust on all the knives. Very disappointed.",1,NEGATIVE,0.9984642267227173
R1SOKTI18UTN14,Was a wedding gift an was helpful for setting up a new house,5,POSITIVE,0.995209276676178
R2X5I0C7VB30E7,I was pleasantly surprised with thise knife set. Knives well made with a little weight to them which I was hoping. Some may prefer lighter. Sleek design solid block. Good starter set.,5,POSITIVE,0.999497652053833
R162YCIORU732Z,I bought these a few months ago and was soooo happy to buy them. They rusted the next day! If these knives hve ANY bit of water on them they will rust. 100% Every time. Don't buy them.....save ur money,1,NEGATIVE,0.9972084164619446
RTETF9YN439Y5,"Very sharp. Nice weight. Never put them in the dishwasher. Not the top notch steel like a Henckel,",3,POSITIVE,0.9654862284660339
R11X72D2T86ZSM,"Had these knives for about 2 weeks and I was loving them except this one is rusted after being in the dish washer once…The scissors also SUCKK so bad, they’re awful they barely cut anything",1,NEGATIVE,0.9989521503448486
R1MPJVP4E3L556,"This knife set is good value. Sharp right out of the box, all the sizes and types I use regularly and, they balance well in the hand. That being said, I have not had to sharpen them yet. I have had knife sets with better fit and finish in the past but, never at this price point. All in all I’m happy with my purchase. Time will tell on durability.",4,POSITIVE,0.999763548374176
R6V7S3OZ28ZZA,"We bought these 3 months ago. No intense usage, just regular meat/vegetable cutting, we hand wash and either towel or air dry them. We always use cutting boards. The knives have rusted and the metal has small pits in it. The edges are jagged and can no longer be sharpened. This started happening almost immediately. The knives are pretty. The block is nice. Other than that, a waste of money. If there was a zero star, that’s what they would get.",1,NEGATIVE,0.6643640995025635
R1RPRB3IEIZREX,"Product was very sharp directly out the box. Nicest set I've ever owned. I'm no professional, just a guy who enjoys cooking for his family. So this fit my needs, especially for the price.",5,POSITIVE,0.9990642666816711
R3S9UTU7K5MCYE,Me gusta mucho,5,POSITIVE,0.999366819858551
R3U1PE2BJV2DHB,I have only had these knives for less than a week and they are showing signs the blades are changing color and poor quality of materials. DO NOT PURCHASE THIS ITEM! See pictures,1,NEGATIVE,0.9995254278182983
R2C2E5V04I73P9,Bought these knives over a year ago and in the beginning they were great! Sharp and slices through anything. Few month after purchasing I noticed rusting on the blade. I ignored it and thought maybe it was because it was in water overnight. Fast forward to today and the knives blades are corroded now it’s hard to cut anything.,3,NEGATIVE,0.9979817867279053
R16K1B7U87LGIT,"These are the worst knives I have purchased by a long shot. After the first dish washer run the knives rusted. Washing them by hand didn't help a bit. They look great on the counter, but if you lan to actually use them, I will not recommend to anyone.",2,NEGATIVE,0.9994127750396729
RT2UILZA0MFH,Love the block that they come with. The knives are good. The only issue I have is it that they need to be sharpened after almost every use. I use them every day and they do a great job. Only takes seconds to sharpen.,4,POSITIVE,0.9989990592002869
R12MXO9YFGOS82,"For the first year I had no problems. During the second year I began to notice rust spots that had to be rubbed out. More troubling however, is the fact that two of the steak knives have been chipping to the point that sharpening does no good.",3,NEGATIVE,0.9996620416641235
R2UVR0LZ7U6XGH,Excellent,5,POSITIVE,0.9998434782028198
RCG9KRG2C5S6B,"The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time0:00/Duration0:28Loaded:21.45%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:281xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.Opinión en octubre de 2024: Me gustaron mucho, la calidad, cortan super bien, los sigo usando a ver que tal.Actualizo la opinión, los compré en octubre de 2024 y para enero de 2025 ya estaban empezando a oxidarse",1,NEGATIVE,0.9875679016113281
R1YPLYVSD61JBT,"These arrived in a nice cutting block with sharpener. The knives are very sharp, but they appear to be rusting. The knives cost too much to be rusting. I can’t believe that any company would sell a product that rust, especially when it’s used to prep food",2,NEGATIVE,0.9990146160125732
R2XN3WF5P9ABCB,Hollow handles,2,NEGATIVE,0.999207079410553
RS3P4EE23KEJZ,It rusted pretty quick!,5,NEGATIVE,0.9996039271354675
R2DH4REV5225AT,SHARP!!,5,POSITIVE,0.9997112154960632
R1TUP2561Q5OG6,"For my home purposes, I think they are a bit too sharp. Some knives will be used more than others as usual. I go through a lot of steak knives but not to cut steak. We use it to cut vegetables and fruits. So I was looking for a set that had more than 6. This set had 8 which was my only choice. It works. It looks nice.",3,POSITIVE,0.914624035358429
RZ1B2X28KJX3R,This knife set is really really good and I 100% recommend this product. The knifes can make in good packaging and was very sharp.,5,POSITIVE,0.9998137354850769
R3CHMT9L62P6DS,"we purchased these knives. We are not chefs, but do a lot of meal prep and eat at home. These knives have not rusted or broken and some are still relatively sharp considering the time period. We did not hone the knives. We did always hand wash the knives and dry them shortly after washing. The ones we use most frequently such as the chef's knife, santoku, and the slicing knife are pretty dull at this point and have been for a while, we still use them. I decided to try and sharpen those three knives, but was unsuccessful. I think I just let it go too long and it is time for a new set. I do feel that this set has served us well.",4,NEGATIVE,0.988372266292572
RV5AI7IAYW0ZY,Why would the tip break off it’s just a year old. ???,3,NEGATIVE,0.9992406368255615
R3MUJZUBB5R8XV,"I received this product as a Christmas gift this year. Not all the knives fit in the block. After looking at the user guide I found that the 8"" carving knife was not included, but another knife added. Very disappointing! The bigger knife that was sent does not fit in the block. Quality control should have caught this. I want the carving knife!",1,NEGATIVE,0.9996781349182129
R2RCANSSDFZE3R,"item as describe, was a great buy. i am yet to see any sign of rust as others complain.",5,POSITIVE,0.7744788527488708
R238KFY2UXPM5Y,My son now has a set for every one at the dinner table. No more waiting and sharing knives.,5,NEGATIVE,0.934441864490509
R1T0OXE2YJ42XZ,"Versatile set of knives, a little light but sharp and easy to use. Good value for price",5,POSITIVE,0.9996867179870605
R3EDBK4ZZG08C4,"my grandma bought me the 7-piece knife set for Christmas, but the two largest knives don't fit in the block. now I'm wondering if I was sent the wrong knife? the box shows a carving knife but I believe I have a butcher knife instead of a carving knife.I'd email the company directly, but I don't see a way to get in contact since this was a gift.",2,NEGATIVE,0.9987002611160278
R1NDZMLEA41YIS,Some of the knives have broken metal pieces. This is very dangerous. I wish I could get a refund. My life is not worth how dangerous this set is.,1,NEGATIVE,0.999713122844696
RVI1Y0LAO0HT0,"I first bought a different steak kife (only) set that is nicer and more ergonomic, but they don’t match so I can’t mix and match. One of the steak knives is a little loose. I would buy this again and be happy. Pretty good, but perfect.",4,POSITIVE,0.9917194843292236
RQFXPVG6NJ1N,Great knives,5,POSITIVE,0.9989444613456726
R1CNU5D4N7FYE8,"After one month of use, knives are showing rust spots that have have to be hand cleaned after dishwasher use",1,NEGATIVE,0.9976068735122681
R3KASGFMBR7LI7,These knives are only 3 months old and have rusted already and are unusable.,1,NEGATIVE,0.9986706972122192
R397X19NN8PR3E,Very nice set of knivesThe wood handles are awesome,5,POSITIVE,0.9998007416725159
R1RGD4WJCVQ4G0,I don't normally write dissatisfactory review butt I'm compel to for these knives. I followed strict care/cleaning protocol. I always hand wash them and immediately dry them. After drying them I lay them flat to make sure they are completely dry and have no moisture before I place them in the knife stand. Despite all this TLC the rust kept getting worse and worse.,1,NEGATIVE,0.9984381794929504
RFMR2GYLJT9VZ,"I searched for a quality knife set that I could keep on my countertop and be able to remove the biggest knife without having to pull the block forward. This is it! The angle is lower so the knives can be removed. Very high quality, sharp knives too!",5,POSITIVE,0.9312427043914795
R1J7X5JZHJ8ON5,"I have knives that I have had for 30 years that are still in good shape, but needed a new set. The set is not it. Chipped, dull and rusting.I will say they are pretty when they arrive. Never used on anything but food and always wash and dried. Just very poor quality.",1,NEGATIVE,0.9995354413986206
RUTFEUO7Q93YU,"It was really good. The color was great, resist hard work, we use in the Kitchen Restaurant and works perfect. I wash by wand to keep in good condition but you can use dishwasher.",5,POSITIVE,0.9997732043266296
R268P3A1DSLH1S,It’s okay. Just not for me; chonkyfat grip and very handle-heavy. But nice light blade that’s def good and sharp. Just don’t expect a lifer and you may get some hand fatigue- & careful how you use bc that blade will move on its own. Moves a lot w barely a flick.,3,POSITIVE,0.9933878183364868
R9K4BNRI07DA0,"Very, very sharp. Be careful 😆",5,POSITIVE,0.9984592199325562
R328RT9WW062JD,Es lo que esperaba,5,POSITIVE,0.955207109451294
R1R2KKULJMJWW,Im an amateur i know nothing about cooking or knives. I've only ever used walmart brand cheap knives so this is a major major major upgrade for me so to me this is 5/5 no notes excellent lol!,5,NEGATIVE,0.9734798073768616
RQRGQ7LMLN8VI,Excelente! Llego en óptimas condiciones Y su filo es preciso,5,POSITIVE,0.9967989921569824
R3R9BVGJWYC3ZM,"The handle is to wide when cut anything, my knuckles hit the cutting board so the knife doesn’t cut all the way through.",1,NEGATIVE,0.8020243048667908
R2H3YZ81DHXZK0,"I purchased this as a gift for a chef friend, and he absolutely loves it. He says it slices through everything like butter. The quality is outstanding, with beautiful craftsmanship and stunning coloring on the handle. It’s the perfect size and fits seamlessly into his kitchen collection. Highly recommend!",5,POSITIVE,0.9998821020126343
R26AER337ZIPQ8,Nice sharp knife,5,POSITIVE,0.9994863271713257
RCTWTY4QISAK6,Nice knife good quality,5,POSITIVE,0.9998131394386292
R3LY3R92AS3T17,It was a gift to my nephew and he was delighted,5,POSITIVE,0.9998801946640015
R29DV2OSJZAIHX,This is a really sharp knife. I love it!,5,POSITIVE,0.9998488426208496
R3Q02K7Q1EOHPY,"Very nice,good value",5,POSITIVE,0.9998705387115479
R230JICKXQPCUW,Extremely sharp,5,POSITIVE,0.9996107220649719
RCCVRHKAYDQ99,This knife was packaged beautifully and it is a high quality knife.,5,POSITIVE,0.9998096823692322
R2ACEE8W3XAMTW,"I love this knife!❤️ My husband bought it for me as a Christmas gift for a second I thought it was jewelry bc of the packaging lol I was so excited to use it for lunch on the 25th, well I love a sharp knife bc I love cooking but this one right at first use sliced my fingers a couple of times as if I wasn't a cook🤦🏾‍♀️ oh well it's still my favorite knife and I'm now careful while using it and no clamsy human in the house is allowed to touch my knife😂",5,POSITIVE,0.9761778712272644
R24F7RSNOBNFA0,only used once but impressed so sharp i nicked my finger,5,POSITIVE,0.7952843308448792
R1J21H9HYS15DN,Amazing,5,POSITIVE,0.999875545501709
R2SKDT1B65046I,"Very sharp, comfortable to hold. Makes prep so easy. Be careful, these knives are beyond sharp! Easy to wash. Definitely recommend!",5,POSITIVE,0.9997519850730896
R1ADH983RK1IXX,Great knives. I ordered two. Only two knives I use now. Very sharp. Good value for money.,5,POSITIVE,0.9961025714874268
RER7AY7YU00BZ,"Excellent knife … very sharp (be careful), and also very easy to use",5,POSITIVE,0.9994722008705139
R14375F9QFLDHU,No zip nada gotta sharpen each time!,2,NEGATIVE,0.9795711040496826
